,link,text,date,No_of_likes,No_of_tweets
105,https://twitter.com/Revdavidgray/status/1385969780126060546#m,Cush Jumbo Jet #CelebsOrTVShowsThatFly,"Apr 24, 2021 · 2:52 PM UTC",0,0
106,https://twitter.com/Rulexy2/status/1385958008140836874#m,Boeing 747-8i Lufthansa Poster for Aviators. #aviation #airside #avgeek #aviationimages #plane #aircraft #Lufthansa #boeinglovers #boeing747 #boeing748 #boeing748i #queenoftheskies #b748 #b748i #jumbojet,"Apr 24, 2021 · 2:05 PM UTC",27,0
107,https://twitter.com/PoetTrucking/status/1385954745022652417#m,Where it would appear I wasn’t too sure So I pointed my camera And followed the roar  A chance encounter with a 747 made my day  #jumbojet #boeing747 #EMA #KalattaAir,"Apr 24, 2021 · 1:52 PM UTC",1,0
108,https://twitter.com/MariaCarmensita/status/1385950872757325824#m,Acabamos de encontrar un lugar donde venden Jumbo jet omg 👁👄👁,"Apr 24, 2021 · 1:36 PM UTC",3,0
109,https://twitter.com/elstenhengel/status/1385949256352247814#m,Naast alle bezwaren die over Dyson worden genoemd: ze maken ontzettend veel herrie. Alsof er een jumbojet in je huiskamer stationair staat te draaien. Ik heb een Dyson gehad maar koop nooit meer iets van dat merk.,"Apr 24, 2021 · 1:30 PM UTC",0,0
110,https://twitter.com/MsMigot/status/1385941595808096261#m,"A classic car is driven past a decommissioned British Airways Boeing 747 jumbo jet parked to be used for salvage and parts after the airline retired its whole 747 fleet, at Cotswold Airport, Gloucestershire Credit: REUTERS/Toby Melville","Apr 24, 2021 · 1:00 PM UTC",0,0
111,https://twitter.com/solarPVsean/status/1385941546541850631#m,Electrified light rail and high speed rail and eliminating sub-2hr jumbojet flights and forcing regions onto Elec rail.   Bike 1 day per week. Reduce registration cost by 14% for every day you volunteer to not be on the road. Have registrations be day-of-week specific.,"Apr 24, 2021 · 12:59 PM UTC",0,0
112,https://twitter.com/PeterKGeoghegan/status/1385941305717571585#m,"Surely there must be a TV format in this: ""things that wouldn't have been possible in different eras"". If they made the jumbo jet in the 17th century there'd have been no airports for it to fly to. Really does make you think","Apr 24, 2021 · 12:58 PM UTC",65,4
113,https://twitter.com/FirsebolRaghu/status/1385938256043388928#m,Woh phoren travel ban hai toh kya modiji apna brand new jumbo jet ko hospital ke liye use karne denge🤔🤔🙄🙄 Waise hi puch piya☺️☺️,"Apr 24, 2021 · 12:46 PM UTC",7,2
114,https://twitter.com/_snooze__/status/1385929454690750465#m,"Pankhay nhi, jumbo jet sized window ACs hotay","Apr 24, 2021 · 12:11 PM UTC",0,0
